Lemma	SF	Analysis	Segmentation	Freq
aataminomenaan	aataminomenaan	aatami_N-GEN-omena_N-ILL	aatami-n-omena-an	1
aatteilla	aatteilla	aate_N-PL-ADE	aatte-i-lla	1
adoptioilta	adoptioilta	adoptio_N-PL-AB	adoptio-i-lta	1
adoptiotyttärensä	adoptiotyttärensä	adoptio_N-tytär_N-3SGPL	adoptio-tyttäre-nsä	1
afaatikoilla	afaatikoilla	afaatikko_N-PL-ADE	afaatiko-i-lla	1
ahdistetun	ahdistetun	ahdistaa_V-PSSPCP2-GEN	ahdiste-tu-n	1
aikoneet	aikoneet	aikoa_V-PCP2-PL	aiko-nee-t	1
aikuisväestöstä	aikuisväestöstä	aikuinen_A/N-väestö_N-ELA	aikuis-väestö-stä	1
ainekseltaan	ainekseltaan	aines_N-ABL-3SGPL	ainekse-lta-an	1
ainuttakaan	ainuttakaan	ainut_A-PTV-kAAn_CLI	ainut-ta-kaan	1
aiottuja	aiottuja	aikoa_V-PSSPCP2-PL-PTV	aio-ttu-j-a	1
ajanmukaisuudesta	ajanmukaisuudesta	aika_N-GEN-mukainen_A-DAUUS-ELA	aja-n-mukais-uude-sta	1
ajoilta	ajoilta	aika_N-PL-ABL	ajo-i-lta	1
ajojen	ajojen	ajo_N-PL-GEN	ajo-j-en	1
ajosuuntaa	ajosuuntaa	ajo_N-suunta_N-PTV	ajo-suunta-a	1
akrobaattiset	akrobaattiset	akrobaatti_N-DNINEN-PL	akrobaatt-ise-t	1
alakanttiin	alakanttiin	ala_N-kantti_N-ILL	ala-kantti-in	1
alalajia	alalajia	ala_N-laji_N-PTV	ala-laji-a	1
alamaisiksi	alamaisiksi	ala_N-DNMAINEN-PL-TRA	ala-mais-i-ksi	1
alamäkivauhtiaan	alamäkivauhtiaan	ala_N-mäki_N-vauhti_N-PTV-3SGPL	ala-mäki-vauhti-a-an	1
alaspäinkin	alaspäinkin	alanen_N-päin_ADV-kin_CLI	alas-päin-kin	1
alen	alen	ale_N-GEN	ale-n	1
alkusyksyisin	alkusyksyisin	alku_N-syksyinen_A-PL-INS	alku-syksyis-i-n	1
alkuvoimaisten	alkuvoimaisten	alku_N-voi_N-DNMAINEN-PL-GEN	alku-voi-mais-t-en	1
allergisuus	allergisuus	allerginen_A-DAUUS	allergis-uus	1
alttonsa	alttonsa	altto_N-3SGPL	altto-nsa	1
alttoviulistien	alttoviulistien	altto_N-viulisti_N-PL-GEN	altto-viulist-i-en	1
aluehälytyskeskukselle	aluehälytyskeskukselle	alue_N-hälyttää_V-DVUS-keskus_N-ALL	alue-hälyt-ys-keskukse-lle	1
aluemyynnin	aluemyynnin	alue_N-myydä_V-DVNTI-GEN	alue-myy-nni-n	1
alushame	alushame	alunen_N-hame_N	alus-hame	1
alusvaate	alusvaate	alunen_N-vaate_N	alus-vaate	1
alusyksikkö	alusyksikkö	alunen_N-yksikkö_N	alus-yksikkö	1
amatööriorkesteri	amatööriorkesteri	amatööri_N-orkesteri_N	amatööri-orkesteri	1
amatööriseura	amatööriseura	amatööri_N-seura_N	amatööri-seura	1
ambulanssia	ambulanssia	ambulanssi_N-PTV	ambulanssi-a	1
amerikkalaiskuluttajan	amerikkalaiskuluttajan	amerikkalainen_A/N-kulua_V-DVTTA-DVJA-GEN	amerikkalais-kulu-tta-ja-n	1
amerikkalaisyhtiötä	amerikkalaisyhtiötä	amerikkalainen_A/N-yhtiö_N-PTV	amerikkalais-yhtiö-tä	1
ammattiauttajia	ammattiauttajia	ammatti_N-auttaa_V-DVJA-PL-PTV	ammatti-autta-j-i-a	1
ammattinukketeatteria	ammattinukketeatteria	ammatti_N-nukke_N-teatteri_N-PTV	ammatti-nukke-teatteri-a	1
