Lemma	SF	Analysis	Segmentation	Freq
aataminomenaan	aataminomenaan	atami_N-GEN-omena_N-ILL	atami-n-omena-an	1
aatteilla	aatteilla	ate_N-PL-ADE	ate-i-la	1
adoptioilta	adoptioilta	adoptio_N-PL-AB	adoptio-i-lta	1
adoptiotyttärensä	adoptiotyttärensä	adoptio_N-tytär_N-3SGPL_nsA	adoptio-tytäre-nsä	1
afaatikoilla	afaatikoilla	afatiko_N-PL-ADE	afatiko-i-la	1
ahdistetun	ahdistetun	ahdista_V-PSPCP2-GEN	ahdiste-tu-n	1
aikoneet	aikoneet	aikoa_V-PCP2-PL	aiko-ne-t	1
aikuisväestöstä	aikuisväestöstä	aikuinen_A/N-väestö_N-ELA	aikuis-väestö-stä	1
ainekseltaan	ainekseltaan	aines_N-ABL-3SGPL	ainekse-lta-an	1
ainuttakaan	ainuttakaan	ainut_A-PTV-kAn_CLI	ainut-ta-kan	1
aiottuja	aiottuja	aikoa_V-PSPCP2-PL-PTV	aio-tu-j-a	1
ajanmukaisuudesta	ajanmukaisuudesta	aika_N-GEN-mukainen_A-DAUS-ELA	aja-n-mukais-ude-sta	1
ajoilta	ajoilta	aika_N-PL-ABL	ajo-i-lta	1
ajojen	ajojen	ajo_N-PL-GEN	ajo-j-en	1
ajosuuntaa	ajosuuntaa	ajo_N-sunta_N-PTV	ajo-sunta-a	1
akrobaattiset	akrobaattiset	akrobati_N-DNINEN-PL	akrobat-ise-t	1
alakanttiin	alakanttiin	ala_N-kanti_N-ILL	ala-kanti-in	1
alalajia	alalajia	ala_N-laji_N-PTV	ala-laji-a	1
alamaisiksi	alamaisiksi	ala_N-DNMAINEN-PL-TRA	ala-mais-i-ksi	1
alamäkivauhtiaan	alamäkivauhtiaan	ala_N-mäki_N-vauhti_N-PTV-3SGPL	ala-mäki-vauhti-a-an	1
alaspäinkin	alaspäinkin	alanen_N-päin_ADV-kin_CLI	alas-päin-kin	1
alen	alen	ale_N-GEN	ale-n	1
alkusyksyisin	alkusyksyisin	alku_N-syksyinen_A-PL-INS	alku-syksyis-i-n	1
alkuvoimaisten	alkuvoimaisten	alku_N-voi_N-DNMAINEN-PL-GEN	alku-voi-mais-t-en	1
allergisuus	allergisuus	alerginen_A-DAUS	alergis-us	1
alttonsa	alttonsa	alto_N-3SGPL_nsA	alto-nsa	1
alttoviulistien	alttoviulistien	alto_N-viulisti_N-PL-GEN	alto-viulist-i-en	1
aluehälytyskeskukselle	aluehälytyskeskukselle	alue_N-hälytä_V-DVUS-keskus_N-AL	alue-hälyt-ys-keskukse-le	1
aluemyynnin	aluemyynnin	alue_N-mydä_V-DVNTI-GEN	alue-my-ni-n	1
alushame	alushame	alunen_N-hame_N	alus-hame	1
alusvaate	alusvaate	alunen_N-vate_N	alus-vate	1
alusyksikkö	alusyksikkö	alunen_N-yksikö_N	alus-yksikö	1
amatööriorkesteri	amatööriorkesteri	amatöri_N-orkesteri_N	amatöri-orkesteri	1
amatööriseura	amatööriseura	amatöri_N-seura_N	amatöri-seura	1
ambulanssia	ambulanssia	ambulansi_N-PTV	ambulansi-a	1
amerikkalaiskuluttajan	amerikkalaiskuluttajan	amerikalainen_A/N-kulua_V-DVTA-DVJA-GEN	amerikalais-kulu-ta-ja-n	1
amerikkalaisyhtiötä	amerikkalaisyhtiötä	amerikalainen_A/N-yhtiö_N-PTV	amerikalais-yhtiö-tä	1
ammattiauttajia	ammattiauttajia	amati_N-auta_V-DVJA-PL-PTV	amati-auta-j-i-a	1
ammattinukketeatteria	ammattinukketeatteria	amati_N-nuke_N-teateri_N-PTV	amati-nuke-teateri-a	1
ammattitutkintolaki	ammattitutkintolaki	amati_N-tutkinto_N-laki_N	amati-tutkinto-laki	1
analysoidut	analysoidut	analysoida_V-DVTU-SG2	analysoi-du-t	1
ansaitsevatko	ansaitsevatko	ansaita_V-PCP1-PL-kO_CLI	ansaitse-va-t-ko	1
antamattomuus	antamattomuus	anta_V-DVMATON-DAUS	anta-matom-us	1
antikvariaattinsa	antikvariaattinsa	antikvariati_N-3SGPL_nsA	antikvariati-nsa	1
anttilainen	anttilainen	antilainen_N	antilainen	1
anttilaisen	anttilaisen	antilainen_N-GEN	antilaise-n	1
aoikeuksia	aoikeuksia	a-oikea_A-DAUS-PL	a-oike-uks-i	1
arabiemiirikunnissa	arabiemiirikunnissa	arabi_N-emiri_N-kunta_N-PL-INE	arabi-emiri-kun-i-sa	1
arajan	arajan	a-raja_N-GEN	a-raja-n	1
arkityylissä	arkityylissä	arki_N-tyli_N-INE	arki-tyli-sä	1
artosta	artosta	arto_N-ELA	arto-sta	1
arvoasetelman	arvoasetelman	arvo_N-asetelma_N-GEN	arvo-asetelma-n	1
arvomerkkinsä	arvomerkkinsä	arvo_N-merki_N-3SGPL_nsA	arvo-merki-nsä	1
arvonmääritys	arvonmääritys	arvo_N-GEN-märitä_V-DVUS	arvo-n-märit-ys	1
arvosanojensa	arvosanojensa	arvo_N-sana_N-PL-GEN-3SGPL_nsA	arvo-sano-j-e-nsa	1
arvostelijoilla	arvostelijoilla	arvostela_V-DVJO-PL-ADE	arvosteli-jo-i-la	1
arvostellutta	arvostellutta	arvostela_V-PSPCP2-ABE	arvostel-lu-ta	1
arvostelumyrskyn	arvostelumyrskyn	arvostela_V-DVU-myrsky_N-GEN	arvostel-u-myrsky-n	1
arvovaltansakin	arvovaltansakin	arvo_N-valta_N-3SGPL_nsA-kin_CLI	arvo-valta-nsa-kin	1
asemakaavaaluetta	asemakaavaaluetta	ase_N-mata_V-PCP1-alue_N-PTV-asema_N-kava_N	ase-maka-va-aluet-ta-asema-kava	1
aseteltaessa	aseteltaessa	aseta_V-DVELE-PS-INF2-INE	aset-el-ta-e-sa	1
asettajista	asettajista	aseta_V-DVJA-PL-ELA	aseta-j-i-sta	1
asettamastaan	asettamastaan	aseta_V-DVMA-ELA-3SGPL	aseta-ma-sta-an	1
asfalttiteitä	asfalttiteitä	asfalti_N-tie_N-PL-PTV	asfalti-te-i-tä	1
asfalttitiet	asfalttitiet	asfalti_N-tie_N-PL	asfalti-tie-t	1
asianosaisena	asianosaisena	asia_N-GEN-osainen_A-ES	asia-n-osaise-na	1
asserille	asserille	aser_N-AL	aseri-le	1
asukaskokouksessa	asukaskokouksessa	asukas_N-kokous_N-INE	asukas-kokoukse-sa	1
asuntokortteleita	asuntokortteleita	asunto_N-korteli_N-PL-PTV	asunto-kortele-i-ta	1
asuntoluototuksessa	asuntoluototuksessa	asunto_N-luotota_V-DVUS-INE	asunto-luotot-ukse-sa	1
asuttamamme	asuttamamme	asua_V-DVTA-DVMA-1PL	asu-ta-ma-me	1
asvalttiasemaa	asvalttiasemaa	asvalti_N-ase_N-ma_N	asvalti-ase-ma	1
aukioon	aukioon	aukio_N-ILL	aukio-on	1
aurausta	aurausta	aurata_V-DVUS-PTV	aura-us-ta	1
aurinkotyttökisa	aurinkotyttökisa	aurinko_N-tytö_N-kisa_N	aurinko-tytö-kisa	1
autoistumisaste	autoistumisaste	auto_N-istua_V-DVMINEN-aste_N-autoistua_V	auto-istu-mis-aste-autoistu	1
autokauppiaalle	autokauppiaalle	auto_N-kaupias_N-AL	auto-kaupia-le	1
autovaraosat	autovaraosat	auto_N-vara_N-osa_N-PL	auto-vara-osa-t	1
avaamasta	avaamasta	avata_V-DVMA-ELA	ava-ma-sta	1
avaintermejä	avaintermejä	avain_N-termi_N-PL-PTV	avain-terme-j-ä	1
avantgardistit	avantgardistit	avantgardisti_N-PL	avantgardisti-t	1
