Word	Frequency
annecim	181
gel	208
çiz	9
otur	91
değil	129
yaptın	88
bıktın	2
bunlardan	1
Özge	267
bak	370
bunla	5
çizebilirsin	2
yıkanabilir	1
bakayım	180
bunu	133
yıkanıyor	1
tut	51
dur	62
burnunu	8
sileceğim	2
burnun	15
akmış	9
öp	60
istiyorum	20
öpecem	1
bende	14
sarıl	37
hoppaa	3
içer	62
misin	18
kaçıyor	3
al	123
üzerine	7
yiyecen	2
bekle	4
çıkmış	14
yüzüne	13
üzerini	1
alacak	9
mısın	9
hepsini	16
dökersin	2
burnu	8
almıyorum	3
heryeri	1
çizdin	2
nerde	269
kapat	17
düştü	38
severdin	6
göster	45
altında	10
bunda	12
açmışsın	1
dakka	5
afferin	9
çıkmaz	7
aktı	3
heryerde	2
heryere	2
yaydın	1
ağırlaşmışsın	2
çıkacak	4
Hani	1
kalkacağız	1
kalkıyoruz	2
düşersin	24
kendini	3
sürdün	1
sümüğünü	1
jöleleme	1
kalk	33
ver	53
bana	282
koluna	3
yakıştı	2
Özgeye	4
gidiyor	37
musun	9
hoşgeldin	6
yapardın	2
vururdun	1
yap	89
veriyorsun	3
mı	291
oldu	106
yaparsın	42
oyna	14
üstünü	5
kağıdı	2
attın	7
çizeyim	11
çizecem	1
benzetebilirsen	1
benzetemiyor	1
attı	1
oynardın	1
seviyorsun	29
istemiyorum	9
diyor	27
ayaktasın	1
bakıyor	4
varmış	44
açayım	5
dokunursa	1
geldi	66
algılıyor	1
silindi	1
onlar	74
çıktı	21
gördün	17
mü	49
vazgeçemez	1
orda	76
çıkardın	1
ordan	22
sildim	1
bebeği	18
öptün	4
yapacağız	17
Özgecim	22
çalışıyor	12
sığar	3
üstüne	32
özge	4
olmaz	23
sormuyorsun	1
burda	112
vardı	18
yapıyorsun	125
altına	11
düşürdün	1
savurdun	1
burday	1
mış	2
yazdın	3
dayanamazsın	1
biliyorum	8
almadın	1
mi	355
tutulmaz	2
alınmaz	2
gördünmü	78
açıyorum	2
değilmi	151
bunlar	99
öptünmü	3
burdada	6
yapıyor	284
bular	1
oynuyor	23
burdaevet	1
bakl	1
burdakilerin	1
hiçbirini	1
bilmiyorsun	14
motorsiklet	1
onu	166
getir	30
şuna	4
buda	5
anney	1
miş	2
ayağında	3
göstereyim	2
havhav	1
bna	1
düşersen	3
karışmıyorum	1
bitti	28
çün	2
kü	2
döküyorsun	2
seviyorum	16
benim	103
gelirmisin	5
ağzını	21
sil	25
yüzünüde	1
yüzünü	8
süreyüm	1
elini	11
sür	14
yüüne	1
elinde	8
yüzünede	1
sürüyorum	1
sensin	5
değilim	1
yaptırmazsın	1
döküldü	1
yeter	7
bitiremeyiz	1
bizim	21
seviyormusun	62
gitti	54
varsa	2
gör	1
attım	3
olurmu	22
oldun	7
yakaladım	7
getireyimmi	4
yermisin	5
indir	4
vereceğim	10
kaldır	3
köpeğe	2
kucağıma	15
tüylerini	2
iyice	6
sıkıca	1
yapalımmı	4
köpeği	8
senmi	1
yatacağından	1
buna	19
basacaksın	1
basabilirsin	1
gidiyoruz	16
ağzı	8
çıkaralım	4
içine	87
takacam	1
çokmu	2
güzelmi	2
yut	6
ağzındakinide	1
içermisin	9
acıdı	15
ağzında	4
kini	3
bitirir	1
gördüm	12
ye	6
kızımla	1
becerik	1
lidir	1
döküyor	2
dursun	22
ablayla	1
verecem	16
karıştır	13
atalımmı	1
dökelimmi	1
senkarıştır	1
karıştırıyor	2
pişireceğiz	2
karıştırmıyorsun	1
ik	2
döküyoruz	2
pişirelim	2
karıştıracaksın	1
vereyim	23
tencerey	1
tutarsın	1
say	24
göstereceğim	2
dibini	2
karıştırmamız	1
tutsun	2
sıçrarsa	1
yanarsın	3
yapıyoruz	7
içinde	52
olacak	24
tutmasıb	1
sıçramasın	1
tutuyorum	2
saymıyorsun	1
tarifinide	1
annenle	6
hamaratız	1
nerden	57
bitmedi	2
