Word	Frequency
hoppaa	2
O	29
öştü	1
döştü	2
düştü	49
kak	1
akabı	3
akabısı	1
havhav	1
al	45
sür	2
otur	10
attı	5
attım	14
aşağa	3
geldi	101
bitti	27
ağzı	11
sar	2
sadım	1
köpe	1
yiyor	22
gördünmü	11
kamas	1
gel	27
bak	558
say	6
Doğa	5
düştüm	4
bitanem	1
söyle	9
terliği	1
kucağıma	3
nerde	122
ver	100
benim	161
kaşığım	2
değil	78
sakla	2
ufolmuş	1
ufolmamış	1
sanyaye	3
eeyapacak	2
saklan	2
Özge	3
gödüm	1
burda	152
Ayşe	8
sallama	1
kalk	10
çak	5
acıdı	15
banada	1
bana	101
çekil	12
eline	3
abbo	7
hophop	1
çıkay	1
kapatıyor	2
örde	1
Ahmetin	1
ördeği	3
eeyapıyor	4
memesi	2
bende	8
içiyor	13
meyvesuyu	1
bakacam	2
sürmüş	1
bebeğin	4
uzanacak	1
bıcıbıcı	3
yapmış	17
gülüyor	4
kaşıkla	1
oynuyor	30
uzanmış	1
balonlar	1
yatağı	4
Recep	1
varmış	52
yapıyor	97
ağlıyor	12
çıkalım	1
parmağımı	3
sıkştırdım	1
atacam	1
ufoldu	1
bilmiyoruz	2
otursun	4
agabı	4
sil	2
düttü	2
söyyemedim	1
yap	21
vur	2
yakayadım	1
yakaladım	1
içersin	1
yaptın	12
şortu	2
orda	117
attınmı	1
buldum	16
gitti	80
öptü	4
Arap	1
bakıyor	10
yapayımmı	9
sensiye	1
tanımıyorum	2
bırak	5
şunu	53
koyayım	14
elini	9
koyun	10
kapağı	2
döktüm	5
açayımmı	1
kraker	1
içine	91
batırdım	1
bakayım	43
ağzını	14
yanlışlıkla	1
yemiyorum	1
oynuycam	2
yerine	5
sayalımmı	1
oyuncağım	2
Tarkan	1
hangisinde	1
tutayımmı	1
yemedim	3
olmaz	15
kağıt	14
katla	1
teşkür	1
edeyim	1
acıktım	2
aşa	1
geldim	9
uçacaksın	3
uaçacaksın	1
konuştuk	2
kapattık	1
git	8
tamammı	2
bişey	6
kucağına	7
kapat	9
gözlerini	7
oldu	47
Sinan	6
bilmiyorum	82
yürüyor	19
cız	3
ediyor	5
yapmıyor	16
donuna	2
yemiyor	4
olur	53
burdakileri	1
çıkart	8
bundan	23
bunu	160
girsin	8
bunlar	83
sürüyümmü	1
bunlan	11
oynayacam	1
şimdik	20
bunla	10
oynayacağım	6
kullanacağım	2
Kerime	3
götüreceğim	1
yapışırmı	1
kütür	2
mü	6
babaannem	15
mu	21
istiyorum	34
ıhh	6
burdan	40
gelmesin	5
yürüyorlar	6
koşuyorlar	8
bunların	9
sokarmısın	1
düşüyorlar	3
arkasına	7
kaçtı	6
girmiyor	7
koştu	4
sığarmı	1
sığarmış	1
Kerimle	1
oyuncaklarımız	2
karıştırıyor	4
olacak	18
bizim	59
arabamız	1
annemiz	2
bindiriyor	1
açılmıyor	1
açılıyor	13
burasından	2
istersen	6
verirmisin	15
şurda	19
vardı	46
yiyimmi	1
Keriminkini	1
vakti	2
oynuyoruz	42
yemeğe	6
alıyoruz	13
yiyoruz	10
yamağimizi	1
nanny	7
yediriyor	1
çıkarıyor	5
anneciğimle	1
Afiy	2
Sinanı	2
çikarıyor	2
sokağa	10
helvacı	1
mısırcı	1
çıkarmı	2
fırlatıyormuyum	1
ikimizin	1
Sinana	1
aldık	24
atıyorum	9
atıyoruz	8
tekmeyle	1
atmasını	1
bilmiyor	4
atıyor	8
düşürüyor	1
nerdeydi	1
burasımıydı	2
taşıyabilirmi	1
binmesin	1
isterse	1
eşeğe	1
buna	23
binsin	4
basıyor	4
biniyor	5
ayağı	15
basmıyor	3
olmazki	2
ayakları	16
değiyor	1
yaparım	44
kalemle	20
çantamın	1
içinde	80
getiriyorum	4
götürüyorum	4
getirmiyorum	1
bunlarda	3
dursun	22
üstünde	35
mı	69
durmasınlar	1
dursunlar	1
olsun	24
dur	57
çıkartma	1
bunları	58
koysam	1
garajımız	1
yapmasını	2
biliyorum	42
annemler	5
aldı	34
yapabildimmi	1
götürmedıler	1
götüreyimmi	1
uyur	26
yatıyorlar	10
onlar	87
sıkılırım	1
yapacam	18
yapmazlar	6
süsleniyor	20
saçını	6
kıvırmıyor	1
gidiyor	101
kaldırdın	1
kalsın	7
kaldıralım	4
Afiyle	2
çıktı	16
ütülemiyorlar	1
ütülüyorlar	3
temizlenmiyor	1
süpürüyorlar	3
kirlettiğimiz	1
süpürgeyle	15
benzemiyor	1
resme	1
içerinin	1
kapanıyor	6
olmadı	9
şurdakilerden	1
oynayalımmı	4
şurdakilerlen	1
yiyim	1
veririz	1
olurmu	3
okumuyor	6
okuyor	38
uyandığı	1
çayını	1
içmiyorki	1
içiyorum	13
Kerim	3
yemedik	1
koyuyummu	2
yedik	12
burasımı	1
çocuğu	16
olsunmu	3
ismini	2
Selim	4
Eren	2
tepetaklak	2
konuşur	1
yapsınlarmı	1
demiyorki	1
nasılsın	1
yapmadım	4
tersaneye	1
gittim	17
dümenler	1
baktım	5
eveyemek	1
döndüm	1
istemiyor	3
gelsin	15
durmuyor	12
konuşmadı	1
birbirleriyle	1
yanına	13
yattı	8
yatacak	4
inmiyormu	1
iniyor	3
çıksınlar	1
çıkarlarmı	1
yaptığım	1
yaparlarmı	1
yapıyorlar	15
yatsınlar	2
isterseler	1
düşer	5
düşüyormu	1
otururuz	1
üstüne	32
seviyor	3
tada	1
duracakmı	1
küşu	1
sevmiyorlar	3
seyretmesini	1
verebilirmisin	1
bittimi	2
biskuitler	1
mi	74
çıkardım	2
uçağı	8
çıkarttım	5
Aykutlara	2
Ayfer	2
Aykut	3
içerde	8
varmı	25
yattım	4
Kumburgaz	4
kaça	2
gidiyordur	1
yatmıştık	2
heeh	3
yattık	6
daydaylarım	4
oturuyor	31
daydayım	2
huuh	2
girmiyorum	2
korkuyorum	11
mayomlan	2
gidiyorum	31
boynumdan	2
kazağından	2
şundan	7
kaldırıldı	2
kestim	3
yedim	12
verdim	5
bi	8
tanesini	2
balığımı	2
göstereyimmi	3
babaannemden	3
kullanıyorum	6
sönüyor	12
yaptım	37
açtım	11
şişirecem	1
şunla	2
balığı	12
onu	139
aldım	11
yiyorum	13
divanın	2
altına	13
huh	4
koşarım	7
hızım	2
koşuyummu	1
