SF	Word	Segmentation	Analysis	Freq
ve	ve	ve	Stem	410082
bir	bir	bir	Stem	249887
bu	bu	bu	Stem	182175
ile	ile	ile	Stem	91917
iʧin	için	iʧin	Stem	87024
olɑrɑk	olarak	ol-ɑrɑk	Stem-cv:erek	71279
dɑ	da	dɑ	Stem	70573
de	de	de	Stem	62501
dɑhɑ	daha	dɑhɑ	Stem	45708
ʧok	çok	ʧok	Stem	44655
olɑn	olan	ol-ɑn	Stem-part:pres	42598
en	en	en	Stem	39710
her	her	her	Stem	37829
vejɑ	veya	vejɑ	Stem	35728
gibi	gibi	gibi	Stem	32871
sonrɑ	sonra	sonrɑ	Stem	29350
kɑdɑr	kadar	kɑdɑr	Stem	27434
jeni	yeni	jeni	Stem	23280
gøre	göre	gøre	Stem	22404
byjyk	büyük	byjyk	Stem	22235
o	o	o	Stem	21184
ilgili	ilgili	ilgi-li	Stem-li	21157
ɑnʤɑk	ancak	ɑnʤɑk	Stem	19398
iki	iki	iki	Stem	18258
genel	genel	genel	Stem	18204
ne	ne	ne	Stem	18015
tym	tüm	tym	Stem	17273
mɑdde	madde	mɑdde	Stem	16908
diɰer	diğer	diɰer	Stem	16778
jɑ	ya	jɑ	Stem	16514
ønemli	önemli	ønem-li	Stem-li	15993
zɑmɑn	zaman	zɑmɑn	Stem	15726
ilk	ilk	ilk	Stem	15113
ɑ	a	ɑ	Stem	14840
jer	yer	jer	Stem	14805
ɑjnɯ	aynı	ɑjnɯ	Stem	14697
son	son	son	Stem	14420
bilgi	bilgi	bilgi	Stem	14026
jyksek	yüksek	jyksek	Stem	13663
ki	ki	ki	Stem	13199
øzel	özel	øzel	Stem	13135
eɰitim	eğitim	eɰitim	Stem	12936
ʃekilde	şekilde	ʃekil-de	Stem-loc	12842
ønʤe	önce	ønʤe	Stem	12784
tyrkie	türkiye	tyrki-e	Stem-dat	12614
iji	iyi	iji	Stem	12362
kendi	kendi	kendi	Stem	12153
bytyn	bütün	bytyn	Stem	12112
jɯl	yıl	jɯl	Stem	12079
ɑmɑ	ama	ɑmɑ	Stem	12070
devɑm	devam	devɑm	Stem	12051
birlikte	birlikte	birlikte	Stem	11852
ujgun	uygun	ujgun	Stem	11689
gyn	gün	gyn	Stem	11539
fɑzlɑ	fazla	fɑzlɑ	Stem	11537
vɑr	var	vɑr	Stem	11381
no	no	no	Stem	11301
ɑjrɯʤɑ	ayrıca	ɑjrɯʤɑ	Stem	11030
yzere	üzere	yzere	Stem	10877
tek	tek	tek	Stem	10539
hem	hem	hem	Stem	10393
sɑdeʤe	sadece	sɑdeʤe	Stem	10115
kɑbul	kabul	kɑbul	Stem	10103
ɑz	az	ɑz	Stem	10001
buun	bunun	bu-un	Stem-gen	9897
bulunɑn	bulunan	bulun-ɑn	Stem-part:pres	9545
olmɑ	olmak	ol-mɑ	Stem-vn:inf	9416
sɑɰlɯk	sağlık	sɑɰlɯk	Stem	9402
bɑzɯ	bazı	bɑzɯ	Stem	9383
ɑlɑn	alan	ɑl-ɑn	Stem-part:pres	9336
sɑhip	sahip	sɑhip	Stem	9253
jønetim	yönetim	jønetim	Stem	9207
bɑʃkɑ	başka	bɑʃkɑ	Stem	9119
kurulu	kurulu	kurul-u	Stem-p3s	9104
kɑrʃɯ	karşı	kɑrʃɯ	Stem	9040
tel	tel	tel	Stem	8775
olmɑɯ	olması	ol-mɑ-ɯ	Stem-vn:inf-p3s	8594
gelen	gelen	gel-en	Stem-part:pres	8540
ortɑɑ	ortaya	ortɑ-ɑ	Stem-dat	8304
iʃ	iş	iʃ	Stem	8264
nɑsɯl	nasıl	nɑsɯl	Stem	8127
yʧ	üç	yʧ	Stem	8080
gerekli	gerekli	gerek-li	Stem-li	8063
doɰru	doğru	doɰru	Stem	8053
øzellikle	özellikle	øzellikle	Stem	7973
olup	olup	ol-up	Stem-cv:ip	7973
hizmet	hizmet	hizmet	Stem	7969
ʧɑlɯʃmɑ	çalışma	ʧɑlɯʃ-mɑ	Stem-vn:inf	7359
temel	temel	temel	Stem	7353
su	su	su	Stem	7341
dynjɑ	dünya	dynjɑ	Stem	7323
bɑɰlɯ	bağlı	bɑɰ-lɯ	Stem-li	7312
devlet	devlet	devlet	Stem	7291
