Training Data Size	Accuracy	Data	Model
250	0.25	MorphoChallenge	Transformer
500	0.44	MorphoChallenge	Transformer
750	0.58	MorphoChallenge	Transformer
1000	0.65	MorphoChallenge	Transformer
1250	0.75	MorphoChallenge	Transformer
1500	0.76	MorphoChallenge	Transformer
1750	0.75	MorphoChallenge	Transformer
2000	0.8	MorphoChallenge	Transformer
2250	0.81	MorphoChallenge	Transformer
2500	0.83	MorphoChallenge	Transformer
2750	0.85	MorphoChallenge	Transformer
3000	0.83	MorphoChallenge	Transformer
100	0.04	CHILDES	Transformer
200	0.28	CHILDES	Transformer
300	0.35	CHILDES	Transformer
400	0.48	CHILDES	Transformer
500	0.54	CHILDES	Transformer
600	0.57	CHILDES	Transformer
700	0.61	CHILDES	Transformer
800	0.55	CHILDES	Transformer
900	0.63	CHILDES	Transformer
1000	0.74	CHILDES	Transformer
250	0.75	MorphoChallenge	Belth (2023)
500	0.86	MorphoChallenge	Belth (2023)
750	0.89	MorphoChallenge	Belth (2023)
1000	0.91	MorphoChallenge	Belth (2023)
1250	0.92	MorphoChallenge	Belth (2023)
1500	0.93	MorphoChallenge	Belth (2023)
1750	0.935	MorphoChallenge	Belth (2023)
2000	0.935	MorphoChallenge	Belth (2023)
2250	0.94	MorphoChallenge	Belth (2023)
2500	0.95	MorphoChallenge	Belth (2023)
2750	0.945	MorphoChallenge	Belth (2023)
3000	0.95	MorphoChallenge	Belth (2023)
100	0.63	CHILDES	Belth (2023)
200	0.78	CHILDES	Belth (2023)
300	0.83	CHILDES	Belth (2023)
400	0.87	CHILDES	Belth (2023)
500	0.91	CHILDES	Belth (2023)
600	0.91	CHILDES	Belth (2023)
700	0.92	CHILDES	Belth (2023)
800	0.945	CHILDES	Belth (2023)
900	0.94	CHILDES	Belth (2023)
1000	0.94	CHILDES	Belth (2023)
100	0.994	CHILDES	Two-stage
200	0.993	CHILDES	Two-stage
300	0.993	CHILDES	Two-stage
400	0.993	CHILDES	Two-stage
500	0.993	CHILDES	Two-stage
600	0.993	CHILDES	Two-stage
700	0.992	CHILDES	Two-stage
800	0.992	CHILDES	Two-stage
900	0.992	CHILDES	Two-stage
1000	0.992	CHILDES	Two-stage
250	0.684	MorphoChallenge	Two-stage
500	0.986	MorphoChallenge	Two-stage
750	0.986	MorphoChallenge	Two-stage
1000	0.986	MorphoChallenge	Two-stage
1250	0.986	MorphoChallenge	Two-stage
1500	0.986	MorphoChallenge	Two-stage
1750	0.986	MorphoChallenge	Two-stage
2000	0.986	MorphoChallenge	Two-stage
2250	0.986	MorphoChallenge	Two-stage
2500	0.986	MorphoChallenge	Two-stage
2750	0.986	MorphoChallenge	Two-stage
3000	0.986	MorphoChallenge	Two-stage
